time_published,confidence,sentiment_score
2026-03-04,0.611193,0.121136
2026-03-04,1.0,0.448575
2026-03-04,1.0,0.616152
2026-03-04,0.970476,0.312601
2026-03-04,0.986147,0.738511
2026-03-04,0.990176,0.447508
2026-03-04,1.0,-0.085444
2026-03-04,1.0,0.419875
2026-03-04,1.0,0.422042
2026-03-04,1.0,0.046341
2026-03-04,1.0,0.118777
2026-03-04,1.0,0.312109
2026-03-04,1.0,0.417515
2026-03-04,0.619399,0.100699
2026-03-04,1.0,0.538038
2026-03-04,1.0,0.288263
2026-03-04,0.917379,0.342569
2026-03-04,0.993535,0.076418
2026-03-04,0.5632,0.106234
2026-03-04,0.990599,0.045185
2026-03-04,0.624537,0.14415
2026-03-03,0.606826,-0.217789
2026-03-03,1.0,0.346959
2026-03-03,0.724835,0.104364
2026-03-03,0.721908,0.339222
2026-03-03,0.714537,0.13251
2026-03-03,0.949995,0.122351
2026-03-03,0.632733,0.320767
2026-03-03,1.0,0.171465
2026-03-03,1.0,0.320628
2026-03-03,0.749439,-0.113718
2026-03-03,0.746763,0.290431
2026-03-03,0.931366,-0.329106
2026-03-03,1.0,0.236364
2026-03-03,1.0,0.426321
2026-03-03,1.0,0.484781
2026-03-03,0.605252,0.101853
2026-03-03,0.705578,-0.231226
2026-03-03,0.619076,0.319071
2026-03-03,0.717686,0.318898
2026-03-03,0.544468,-0.183896
2026-03-03,0.905089,0.305831
2026-03-03,0.617674,0.208474
2026-03-03,1.0,0.312773
2026-03-03,1.0,0.006924
2026-03-03,0.988305,0.113387
2026-03-03,1.0,0.246032
2026-03-03,0.624568,0.100143
2026-03-03,1.0,0.052835
2026-03-03,0.737914,0.103486
2026-03-02,0.578057,0.102445
2026-03-02,0.627373,0.228499
2026-03-02,0.714036,0.297361
2026-03-02,1.0,0.28726
2026-03-02,0.752765,0.115137
2026-03-02,0.705644,0.264344
2026-03-02,0.748271,0.325234
2026-03-02,0.894067,0.32945
2026-03-02,0.823978,0.410979
2026-03-02,1.0,0.253556
2026-03-02,1.0,0.64174
2026-03-02,0.725616,-0.117436
2026-03-02,1.0,-0.40979
2026-03-02,0.637999,0.300326
2026-03-02,0.946496,0.335816
2026-03-02,0.73509,0.349029
2026-03-02,1.0,0.473836
2026-03-02,1.0,0.428752
2026-03-02,1.0,0.21735
2026-03-02,1.0,0.425442
2026-03-02,0.625154,0.028973
2026-03-02,0.551469,0.009708
2026-03-02,0.635158,-0.10288
2026-03-02,1.0,0.640729
2026-03-02,1.0,0.804678
2026-03-02,0.988206,0.337693
2026-03-02,0.716278,0.431534
2026-03-02,0.717607,0.114934
2026-03-02,1.0,0.0586
2026-03-02,1.0,0.041693
2026-03-02,0.614017,0.312199
2026-03-02,1.0,0.268697
2026-03-02,0.741073,0.342014
2026-03-02,0.700147,0.346677
2026-03-02,0.620674,0.211601
2026-03-02,0.71561,0.326593
2026-03-02,0.62873,0.333189
2026-03-02,0.31779,0.036831
2026-03-02,1.0,0.249849
2026-03-02,0.974334,0.31669
2026-03-02,0.600102,0.139028
2026-03-02,0.732144,-0.226459
2026-03-02,0.707121,-0.144918
2026-03-01,0.622357,0.236231
2026-03-01,1.0,0.443577
2026-03-01,1.0,0.022788
2026-03-01,0.629398,0.358986
2026-03-01,0.749389,0.280079
2026-03-01,0.706456,0.315363
2026-03-01,0.329097,0.043467
2026-03-01,0.955565,0.442524
2026-03-01,0.706106,0.337668
2026-03-01,1.0,0.232239
2026-03-01,0.693507,0.136808
2026-03-01,1.0,0.329558
2026-03-01,0.763538,0.31979
2026-03-01,0.96145,0.300094
2026-03-01,0.970317,0.280534
2026-03-01,1.0,0.301013
2026-03-01,1.0,0.495597
2026-03-01,0.647188,0.429504
2026-03-01,0.609955,0.345089
2026-03-01,1.0,0.412186
2026-03-01,0.697284,0.304688
2026-03-01,0.683984,0.273288
2026-03-01,0.614451,0.331755
2026-02-28,0.63118,-0.224311
2026-02-28,0.77209,0.118471
2026-02-28,0.928892,-0.219305
2026-02-28,1.0,0.347654
2026-02-28,0.971802,0.260977
2026-02-28,1.0,-0.280825
2026-02-28,0.610264,0.11154
2026-02-28,0.741995,0.325614
2026-02-28,0.607996,0.261813
2026-02-28,1.0,0.310286
2026-02-28,1.0,0.312067
2026-02-28,0.720087,0.304041
2026-02-28,0.607706,0.205917
2026-02-28,0.635953,0.134614
2026-02-28,0.704935,0.34234
2026-02-28,1.0,0.488986
2026-02-28,0.748377,0.348515
2026-02-28,0.625367,-0.219341
2026-02-28,1.0,0.300684
2026-02-28,0.722204,0.301034
2026-02-28,0.932746,0.139656
2026-02-28,0.714283,0.103599
2026-02-28,0.732897,0.115646
2026-02-28,0.638386,0.128336
